bq0awRolooE	[이슈효] 처음보는 수치입니다. 소멸 위기의 韓... 살아남으려면?	NA
IRUTCu9dd0s	South Korea in a crisis of unprecedented proportions! We must change this first. Dr. Hong Chun-wook	NA
1vDCE2AQpdE	한국 투자 시장에 역대급 황금기가 찾아옵니다⎮홍춘욱 박사	NA
1uNWv8oKnyo	지긋지긋한 국내시장, 이제 움직이기 시작했습니다! 대격변의 이유를 알려드립니다⎮체슬리투자자문 박세익 전무 [풀영상]	NA
_B93ErSFZIg	[월간아신] 삼성전자 초비상! 이번엔 진짜 위기입니다	NA
9y10q0q_PgM	[속보효] AI 반도체 상승 싸이클을 언제까지일까?	NA
zyfUHT15ouM	[월간아신] 위기의 애플, 이번엔 진짜 위험합니다	NA
FHw8btioJwo	[월간아신] AI대장 엔비디아의 오른팔은 누가 될까?	NA
fhoZHojM6Uk	지금 기세면 신고점 뚫을 기업⎮체슬리투자자문 박세익 전무	NA
RoLi4e-9bxg	위기의 삼성전자, 올해엔 반드시 갑니다⎮체슬리투자자문 박세익 전무	NA
5eBYwVsAhsM	국장은 진짜 망했냐구요? 외국인은 계속 사고 있어요⎮체슬리투자자문 박세익 전무	NA
TV9E-FZynWc	[Breaking News] Bitcoin crashed last night. Don't panic. Watch this video!	NA
989fs2rwY7Q	글로벌 패권 경쟁 속 돈 쓸어담는 기업은 '이곳'입니다⎮서울대학교 이재준 박사	NA
7L7IuyLTJOA	[속보효] 비트코인이 상승하는 진짜 이유를 알려드릴게요!	NA
sLjV-bz2bcg	미국 중국의 전쟁 구도, 앞으로 이렇게 바뀝니다⎮서울대학교 이재준 박사	NA
XDubGZv-xJs	포트폴리오에 이게 없다면 진짜 경제 위기입니다⎮숭실대학교 서준식 교수	NA
AhtpJgsjDHQ	가치투자로 돈을 벌려면 '이것'을 하세요⎮숭실대학교 서준식 교수	NA
ASrtiQn0GLA	또 침체라고? 투자자 심란한게 만드는 사람의 묵직한 조언⎮먼슬리구루	NA
Y5MXLBtPs64	중국 전기차의 반란? 일론 머스크는 어떻게 볼까⎮테슬라 삼촌 박형근 연구원 [풀영상]	NA
z6F17dQEgaE	가치투자 GOAT, 빌 애크먼의 묵직한 조언⎮먼슬리구루	NA
9VCVeQb3VQk	220조를 쌓아 놨지만, 이 주식은 사고 있어요! 워런 버핏 형님의 묵직한 조언⎮먼슬리구루	NA
sX8_bBCSj_E	중국의 통계 조작? 믿기 싫어도 믿어야 합니다⎮한양대학교 김광석 교수	NA
ufYcznqbflg	[속보효] 비트코인 전고점 돌파!! 사? 팔아? 어쩔까?	NA
Sz3_5pVvFO4	미국 경제 위기?, 반드시 '이것' 막아야 합니다⎮한양대학교 김광석 교수	NA
s44tJTPdPnI	[속보효] 전기차 포기한 애플! 테슬라에겐 호재? 악재?	NA
phR0QBJNTG4	애플도 접은 전기차, 테슬라의 미래는?⎮테슬라 삼촌 박형근 연구원	NA
VX98Ks_8Mj4	[속보효] AI 주식 충격 매도한 헤지펀드들? 제 생각은 이렇습니다!	NA
zdruTFtpjqo	생태계를 파괴하는 중국 전기차의 습격⎮테슬라 삼촌 박형근 연구원	NA
2tdy1s9xvXM	손해보고 파는 전기차가 있다? 후발주자의 설움⎮테슬라 삼촌 박형근 연구원	NA
y9tci00RuWU	[속보효] 밸류업 프로그램 떴습니다. 근데 업인지 다운인지 헷갈리네요	NA
B5UrvL1oK6I	[Review] AI Tech Companies: A Comprehensive Performance Review (feat. IRTV Researcher Kim Kyung-min)	NA
jTBZbAJN3hY	역대급 실적의 엔비디아! 바이오에 손을 댄다고??⎮원리버 강하나 연구원	NA
uGXxAC4dI6g	주주 권리가 땅에 박혀버린 나라? 이렇게 해야 바뀝니다⎮전) 한국기업거넌스포럼 김규식 대표	NA
SML8bb4MB8k	다가오는 밸류업 프로그램 효과 있을까?⎮전) 한국기업거넌스포럼 김규식 대표	NA
NquLLcO3ifo	요즘 핫한 스캠코인! 일반 코인이랑은 뭐가 다른걸까?⎮박건호 변호사	NA
vxxbk01IRNE	돈 쓰면서 돈 벌기	NA
TAoSGPBotlA	The era has arrived where everyone has a personal secretary. ⎮Dumulmeori CEO Cheon Yeong-rok	NA
v2U33TrPh9Y	[Breaking News] What if the Fed raises interest rates?	NA
r32XCyachZU	[월간공학] 엔비디아 $1,000 가는법은 데이터센터?	NA
1RUUAyGwCHU	"컴공, 프로그래머 필요없는 세상 온다" 엔비디아 CEO 젠슨황의 작심발언 #박지원	NA
Zz3iOarvyWg	AI가 성장시킬 다음 시장은 '이것' 입니다⎮원리버 강하나 연구원	NA
-LwpsWILhr8	손대면 오르는 엔비디아! 다음 타겟은 바이오?⎮원리버 강하나 연구원	NA
nOWm2Q5C-0U	[Monthly Engineering] AI Data Center: A 10x Stock Could Come From Here!	NA
BsSHKJjaGsk	[Monthly Engineering] Sam Altman Aims for a 9000 Trillion Won Investment: Where Will He Make His ...	NA
Us_F3ZhGohc	[속보효] 미국주식시장에서 나타난 이상 현상 | 베팅이 아니라, 대비가 필요한 이유	NA
Yw035g1qg78	[Just Hyo] This is the way to succeed in the capitalist market in the shortest period of time.	NA
rMsDM02mJuE	How to deal with the Bitcoin halving: Bong Hyeon-i, the wise man of Bongcheon-dong	NA
6hFxEJnEcy4	This is the new business model for the AI ​​industry. ⎮ Lee Seon-yeop, Director, Shinhan Investme...	NA
6VoEJDy7D2I	일론 머스크도 반해버린 비만치료제! 근데 비만치료제 시장에 투자를?⎮삼성자산운용 안정진 팀장	NA
gAqrn5wFTPo	[속보효] 9,000조 투자 결정한 샘 알트만! 엔비디아, 삼성, TSMC 사고도 남는 돈?	NA
DbkwO3SoBlY	성공하기 위해 반드시 집중해야 하는 '이것'⎮비전크리에이터 정주용 대표	NA
5wud-kWl6Ro	성공한 모든 투자자들은 '이것'을 가지고 있었습니다⎮비전크리에이터 정주용 대표	NA
GcP9TuT36B0	GPT 사용법의 모든것⎮두물머리 천영록 대표	NA
vHgaqSSvOO8	GPT는 한번 맛들리면 못빠져나옵니다⎮두물머리 천영록 대표	NA
X_f1_0kwiuY	AI 기술 발전은 끝이 없습니다⎮내일은 투자왕 김단테	NA
YzXDX1-gEVI	대한민국 주식시장에 반드시 필요한게 있습니다⎮삼성액티브자산운용 민수아 대표	NA
-Eag7TO2tWQ	AI 빅테크 전쟁의 최종 승자는 누구일까?⎮내일은 투자왕 김단테	NA
-ODC8HU1GOE	애플이 AI 시장 뒤집기 위해 하는 '이것'⎮내일은 투자왕 김단테	NA
w4T5qdQYSI0	좋은 기업? 나쁜 기업? PBR이 뭐길래	NA
9KlvHfhAL1g	미국 vs 중국 붙으면 어떻게 되냐구요? 알려드릴게요⎮서울대학교 이재준 박사	NA
8dzidX42hYU	[월간아신] 급변하는 AI 반도체 시장 사이클 분석은 이걸로 끝내세요⎮IT의 신 이형수 대표	NA
9BxgA-xIjck	폭락해버린 중국 주식 시장, 시진핑이 대처할 수 있을까?⎮신한투자증권 이선엽 이사	NA
XO_Wx4Ddwjg	미국주식? 국내주식? 어디에 투자할까?⎮신한투자증권 이선엽 이사	NA
RinHjfgRLc8	AI 산업은 결국 '이런' 기업들이 독주합니다⎮신한투자증권 이선엽 이사	NA
AjEtem8m7yM	[속보효] 무언가 숨기고 있는 파월, 너무 수상합니다!⎮1월 FOMC 리뷰	NA
chzTXWorxmQ	[월간아신] 올해 AI 반도체 시장 투자는 제발 이렇게 하셔야 됩니다⎮IT의 신 이형수 대표	NA
QqJ7vpc4wcs	반칙이 난무하는 일본 주식 시장의 대환장쇼	NA
YEfHqcT1D-Q	[월간아신] 위기의 삼성전자와 현대차를 살릴 반도체의 지존이 옵니다⎮IT의 신 이형수 대표	NA
gHOo-AYMA-8	[Monthly Asin] The semiconductor market's upheaval left even Samsung Electronics President Kyung-...	NA
EQblJkKaWzw	[속보효] 일본 주식 시장은 떡상, 코스닥은 떡락! 우린 일본처럼 왜 못할까?	NA
kwHhv46uYo0	전쟁까지 불사한다? 중국을 향한 마음가짐이 달라졌어요⎮서울대학교 이재준 박사	NA
Tvo6rXO8Zx4	[리뷰효] AI칩 자체 설계하려는 빅테크 vs 이미 예상한 엔비디아	NA
EcOJF-0saN8	미중 패권 전쟁이 대한민국에 끼치는 영향⎮서울대학교 국가미래전략원 이재준 박사	NA
GuRbBNqlCNs	미국, 중국 패권 전쟁의 끝은 결국 이겁니다⎮서울대학교 국가미래전략원 이재준 박사	NA
QwK0nP0H7FE	[Breaking News] Tesla's Falling, Musk's Real Concerns Are Different (feat. Chinese Electric Vehic...	NA
C8U_9igSQdg	스스로를 가난하게 만드는 행위! 이제 멈추셔야 합니다⎮봉천동의 현인 봉현이형	NA
Cn_DjiPjhRc	Why don't you buy 'this' when you can buy an apartment with a loan?⎮Bong Hyun-hyung, the wise man...	NA
GDYL2fIgJQE	Are you struggling with Tesla? Here's another solution: Kim Do-hyung, Head of Samsung Asset Manag...	NA
p_Ry3iOaVnM	[속보효] 이차전지랑 AI 제대로 한판 붙었습니다. 근데 승자가?	NA
oHBJg-dBb6Q	[월간공학] GPT 스토어 오픈과 뒤쳐진 애플의 반격	NA
h6orjQVleVM	[2024 조선일보 재테크 박람회 강의 영상] AI에 계속 투자하고, 비트코인으로 헤지하자!	NA
PgDmEPHdEbY	[속보효] 저출산 공약이 나왔네요... 효과 있는걸까요?	NA
JRCTZ7VcaI0	30년 투자인생에서 이런 폭풍이 또 올지 몰랐습니다⎮삼성액티브자산운용 민수아 대표	NA
-x3BNQTsqHI	[속보효] 올해 경기침체 확률 매우 높다! 미국 주식 투자 하면 큰일난다!	NA
PQabRZj0I4c	효친님들을 위해서 제가 새해 선물을 준비했습니다	NA
F1-R9DB8Nbs	[속보효] 중국 대만 전쟁나면 한국 경제 폭망한다? 전쟁 시나리오 떴습니다	NA
OWyjBf4F_vM	[월간공학] MS에 시총 1위 털린 애플, 이대로 AI 시장은 포기하는걸까	NA
icqC7GbUFqU	잘나가는 미국주식 25개 기업에만 집중 투자하는 방법⎮삼성자산운용 김도형 본부장	NA
C29OagrXOng	[월간공학] 인공지능 시장의 대혁명이 왔습니다. 누구나 떼돈을 벌 수 있는 시대!	NA
6XeSHAaV8lY	누구나 부자가 될 수 있는 너무나 간단한 습관	NA
oZDbaRK9tN8	[속보효] 오늘은 역사적인 날입니다 | 비트코인ETF 통과!, GPT store 출시!	NA
M4b1n0mXslM	비트코인 ETF만큼 중요하다? 중앙은행이 찍어내는 디지털 화폐 CBDC 설명해드립니다 | 미래에셋증권 이용재 선임매니저	NA
BeUhI4uEovQ	비트코인 ETF 승인되면 엄청난 일들이 벌어집니다! | 미래에셋증권 이용재 선임매니저	NA
m8QGnVEbFc4	다음주에 돈되는 이벤트는 이것입니다	NA
ppXi_vCJ2WI	[속보효] 한은총재 신년사에서 찾은 2024년 투자 힌트	NA
j6bWkJRvQNo	Bitcoin Forecast for 2024: Watch This Video | By Taemin Oh	NA
E9hmcOQxAXQ	제 인생에서 가장 큰 투자, 지금부터 시작합니다.	NA
bRsPNBLTLVg	비트코인 가격? 결국엔 이렇게 될수밖에 없습니다 | 오태민 작가	NA
uzmCbQ-s58M	Bitcoin ETFs? Halving? A Complete Explainer | Author Taemin Oh	NA
kC5XDjQXzcs	비트코인에 대해서 이렇게 접근하는 건 처음입니다 | 오태민 작가	NA
nNFPG3xseGo	[Breaking News] It’s been a while since the market was good? | Two reasons why it can be called a...	NA
LGq7WgaYIX4	나는 당신이 달러 투자를 시작했으면 좋겠습니다 | 대신자산운용 황호봉 본부장	NA
qrO0R4MwadE	[속보효] 12월 FOMC 회의에 대한 음모론을 소개합니다 | 더 중요한 건 그래서 어떻게 할 거냐?겠죠?	NA
p5DiCt3tsiY	[속보효] 12월 FOMC 리뷰, 파월형의 자신감 뿜뿜!! 내년에 75bp 인하한다고!	NA
cNJKzxRxKvs	탄소중립, 안할 거야?? 진짜 열 받네요!! #COP #오일 #탄소중립	NA
Sot90g3vxfo	A boom is coming to the South Korean semiconductor equipment market. Samsung Asset Management Tea...	NA
YZlHUOqtbq4	[월간아신] 2024년 반도체 주도주? '이것'을 알면 보입니다⎮IT의 신 이형수 대표	NA
K-oJsH7jLmk	[월간아신] 애플과 엔비디아의 소름끼치는 평행이론⎮IT의 신 이형수 대표	NA
QihrFvHU7nU	[월간아신] 내년 반도체 시장을 이끌어갈 온 디바이스' 정리 해드립니다⎮IT의 신 이형수 대표	NA
SS6goYHBrNc	대한민국 출산율을 올리기 위해 한국은행이 내놓은 방법은 '이것'	NA
9g8RIHJXpNo	[월간공학] 2024년 인간을 위협할 AI기술 총정리	NA
AJ38BRgILCQ	[월간공학] 애플이 위험하다?! 마이크로소프트가 준비한 마지막 한방!	NA
3rvZ3oSN-pM	[월간공학] 핵무기를 넘어설 위험이 온다? 실리콘밸리의 경고	NA
G2tzg2khMsY	[속보효] 11월 금통위에서 나온 한국은행 총재님의 충격 발언! 가계부채가 줄면 생기는 일?	NA
JcUr7BAqucA	[속보효] 홍콩발 ELS 폭탄 소식, 진짜 문제에 대해 솔직하게 이야기해보겠습니다.	NA
xnvtp-GCL9w	IMF 위기와 똑같다! 돈 벌 기회도 같이 온다!⎮홍춘욱 박사	NA
h1y4ZY3sqNE	AI 대장주는 이제 엔비디아가 아닙니다⎮삼성액티브자산운용 양희창 매니저, 바바리안 리서치 정희석 이사	NA
UoXzRZHnijs	AI & 로봇 산업 총정리! 이렇게 투자하세요⎮삼성액티브자산운용 양희창 매니저, 바바리안 리서치 정희석 이사	NA
HGxHeF8P8hs	[속보효] OpenAI 쿠테타 상황종료!? 라고 썼는데, 내일 아침에 새로운 뉴스 나오기 있기 없기?	NA
9TjHhTepUEY	[Breaking News] Why is the firing of the CEO of Open AI, the world's leading artificial intellige...	NA
ZLFQ8D1XdtE	한국은행이 알아낸 저출산 고령화의 진짜 원인	NA
L3XjCWU9-80	국산 반도체의 부활 신호탄? 이걸 보시면 됩니다⎮유진투자증권 이승우 센터장	NA
61dCdQSSJ3E	Seize the opportunity in the Korean semiconductor market! ⎮ Eugene Investment & Securities Center...	NA
vg4om48-n4o	AI 반도체 시장, 엔비디아를 위협할 기업은 '이곳'입니다!⎮유진투자증권 이승우 센터장	NA
lrLzjPbdodM	미·중 패권 전쟁이 가져올 반도체 시장의 미래는 이것입니다⎮유진투자증권 이승우 센터장	NA
2fp_AySCdFM	반도체 주식 투자 전 반드시 알아야 할 이것!⎮유진투자증권 이승우 센터장	NA
BPlbQKjxux8	AI 인공지능 시장의 모든 것! 이 영상을 보세요!⎮내일은 투자왕 김단테	NA
wD2ecN-Xqe0	[주말브리핑] 이번 주 중요한 일정이 많습니다. 바이든 시진핑 만남 기대해도 될까요?	NA
ukoGNj9kbno	신규 오픈 AI출시!, 근데 스타트업은 박살났다?!⎮내일은 투자왕 김단테	NA
KuVUDSVsxbg	인공지능 전쟁의 종말, 이제 끝났습니다!⎮내일은 투자왕 김단테	NA
S427VUY3cys	[속보효] 미국 신용등급 전망 하향! 도대체 무슨 일?? #무디스 #신용등급	NA
aunoZLniFZE	[속보효] 이틀 연속 사이드카, 저는 이렇게 대응하고 있습니다.	NA
tQhYl24UUCk	[속보효] 주식공매도 금지, 투자는 어떻게??	NA
h8NsfmHBbEo	올해 마지막 큰 기회가 옵니다. 절대 놓치지 마세요⎮김영익 교수	NA
yTX2ItXfk_M	Don't buy anything else, buy this stock. Professor Kim Young-ik	NA
A9XdW4vNU18	다가오는 상승장, 돈 벌려면 이렇게 하세요⎮김영익 교수	NA
QCEXQvN0rlE	[속보효] 11월 FOMC 리뷰, 나스닥이 떡상한 이유 | #파월 #연준 #주식	NA
EtZMvcZdi1k	[Weekend Briefing] Who's in the spotlight this week? The FOMC? The Bank of Japan? Iran?	NA
yrJsWEcNPyE	[월간아신] 10월 풀버전! 이달의 반도체 시장 총정리! 삼성전자가 맞이한 기회!⎮IT의 신 이형수 대표	NA
o_ZcatS-vmc	삼성전자에게 찾아온 역대급 기회⎮IT의 신 이형수 대표	NA
ntQAQP4Jvcg	[속보효] 나스닥 추가하락, 이러다 다 죽어~	NA
SCRRn4MTHvA	[Monthly Asin] Samsung Electronics' counterattack has finally begun: Lee Hyung-soo, the new IT CEO	NA
dQ3LwrCSdf4	[속보효] 이스라엘 지상군 투입? 급락하는 KOSPI 어떻게 하나?? #이스라엘 #하마스	NA
abTNZygsjcA	[속보효] 나스닥 또 -2.5% 급락, 도대체 이유가 뭘까요?	NA
uXduuwHjht0	[월간아신] AI의 시대가 오고 있습니다⎮IT의 신 이형수 대표	NA
F0E_zDYTiMg	2024년에 돈 벌려면 주목해야 하는 것들⎮슈퍼개미 이정윤 세무사	NA
5ZNh4aj09oM	[속보효] 나스닥 급반등한 이유 | 빌애크먼, 美국채 공매도 철회소식	NA
5frTF9q5a8E	찐슈퍼개미가 알려주는 하락장에서 살아남는법⎮슈퍼개미 이정윤 세무사	NA
-vPJ-EWMxBg	[Weekend Briefing] Wall Street's Leading Pessimist Finally Changes His Mind	NA
3AsF1I03ufE	갈데까지 갔다!! 해외에서 보는 대한민국	NA
qj1nI6DWhd8	철퇴로 다스려야 할 한국 최고의 쓰레기 기업들⎮김수헌 MTN 기업&경제센터장	NA
uYm5p4ROFJA	[Breaking News] Elon Musk warns of a storm coming, while Powell vows to curb inflation. #Israel #...	NA
5bj3xR9PdcE	주식하기 어렵죠? 여기에 투자하세요 | 영국 정승우 특파원	NA
9IHkDNDrSE8	[속보효] 미국 10년물 금리 4.9% | 중동 긴장감 커지며, 주가 급락	NA
prFOF8yBOuc	해외 투자자들 사이에서 난리난 한국 가계부채와 부동산 시장 | 영국 정승우 특파원	NA
veP4Svcf_MQ	130조원 리튬 사기 사건의 전말⎮김수헌 MTN 기업&경제센터장	NA
ePvqt1V8rbE	21세기인데 아직도 이런 회사가 있다?⎮김수헌 MTN 기업&경제센터장	NA
-99Wtx2qAts	[Weekend Briefing] The Impact of the Chaos-Induced World Order on Financial Markets	NA
moHWVTOTxeg	[속보효] 이렇게 하지 않으면, 3차 세계대전 피할 수 없습니다 (feat. 레이달리오)	NA
s2XhST7NHUg	일본 중국 넘기 위해서 대한민국이 해야 할 일⎮명지대학교 박정호 교수 [풀영상]	NA
USpEaGymUqE	[속보효] 10월 CPI 예상상회, 시장 영향	NA
-VU-ENrrG1Q	중국의 제조업? '이 나라' 때문에 무너질지도 모릅니다⎮명지대학교 박정호 교수	NA
q2ZcBNWMt-M	Israel-Hamas War Scenarios and Investment Strategy Considerations | Nefcon Weekend Live Recap	NA
rMkAgUkceOY	[속보효] 이스라엘-하마스 전면전, 금융시장 영향은 #미국 #사우디 #슈퍼핵항모	NA
mTka7Loj814	일본 증시는 날아간다? 근데 일본의 MZ 세대는 왜 이래?⎮명지대학교 박정호 교수	NA
XyJd8TJAFGs	중국은 미국이랑 싸우는게 아니고 덜 아프게 맞으려는 것⎮명지대학교 박정호 교수	NA
TImRyh68UJU	[Breaking News] KOSPI plummets. What's going on? #Yen #InterestRates #BondersVigilantes	NA
_sbbX-03pGI	[Chuseok Briefing] Summary of financial market news during the Chuseok holiday period!	NA
SZd83eeebgc	채권은 '이때' 사야 합니다⎮SK증권 최석원 대표	NA
imHcusmWaOY	[월간아신] 9월 풀버전! 이달의 반도체 시장 총정리!⎮IT의 신 이형수 대표	NA
dDo26C1rZ_k	You must watch this video before investing in bonds ⎮ SK Securities CEO Choi Seok-won	NA
